timestep,Left Shoulder,Left UpperArm,Left ForeArm,Left Wrist1,Left Wrist2,Left Wrist3,Right Shoulder,Right UpperArm,Right ForeArm,Right Wrist1,Right Wrist2,Right Wrist3,Left EE Transform,Right EE Transform
0:00:00.802541,-0.06839999999999988,-2.1063,-1.3546399999999998,3.5955399999999997,-0.7247599999999998,0.27212000000000014,0.35058666666666716,-0.6440926535897928,1.29704,-0.6574940130768736,0.9622,-0.0974,"[[0.9872786792915197, 0.15595079955137503, 0.03068080129932643, -0.0915926608200871, 0.40049763686722384, 0.9117070583186301, 0.1298938562838492, -0.9029238068536325, 0.40968199648461645], [0.7104148013791314, 0.19743495252648466, 0.4786645123574772]]","[[0.9850767056003487, -0.12426005290757566, 0.11901559099678279, 0.17079762678591998, 0.6225515000293935, -0.7637126749442157, 0.020805642692822507, 0.7726444713207742, 0.6344829778876951], [0.8149702811654854, -0.13495595915595313, 0.746080413867819]]"
0:00:00.865739,-0.05639999999999987,-2.1063,-1.33184,3.58474,-0.7035599999999999,0.28772000000000014,0.36328000000000055,-0.6104926535897928,1.27016,-0.6645873464102069,0.9622,-0.0974,"[[0.9852751697602911, 0.16752873767799356, 0.033884671266556594, -0.09536698365378501, 0.3743284097458357, 0.9223775393818558, 0.1418407497252055, -0.9120322218590591, 0.38478814157537444], [0.7095039056948155, 0.19828978845224926, 0.4655803311560677]]","[[0.9826447913751897, -0.13395424554042595, 0.12824567589546804, 0.1840760500422621, 0.620672547586923, -0.7621553349514875, 0.022495372502990173, 0.7725362507828706, 0.6345570912211924], [0.8234298969864279, -0.12970061643581984, 0.7614451604627795]]"
0:00:00.928157,-0.044399999999999884,-2.1063,-1.30904,3.57394,-0.6823599999999999,0.30332000000000015,0.37778666666666727,-0.5720926535897928,1.2394399999999999,-0.6726940130768736,0.9622,-0.0974,"[[0.9833017654159902, 0.17808119187589444, 0.03722891090672106, -0.09853440585975672, 0.3492849236556446, 0.9318194955839711, 0.15293602908295154, -0.9199334439006612, 0.36099424627316823], [0.7083452114456821, 0.19919328089549243, 0.4533719684439088]]","[[0.9800309922425781, -0.1436241995386647, 0.1374515230729128, 0.1973198982201837, 0.6186664002547776, -0.7604707774318387, 0.024185367692138474, 0.7724081722138064, 0.6346508374509182], [0.8314027595629989, -0.12450734395348026, 0.7773008276467961]]"
0:00:00.990547,-0.03239999999999987,-2.1063,-1.2862399999999998,3.5631399999999998,-0.6611599999999999,0.31892000000000015,0.3913866666666673,-0.5360926535897927,1.21064,-0.6802940130768735,0.9622,-0.0974,"[[0.9812439656810995, 0.1883305251626269, 0.040904975864712624, -0.1013529470197115, 0.3237705298024373, 0.9406893096111288, 0.16391668598665904, -0.927197210588674, 0.3367800702726408], [0.7068954694023126, 0.2001972130223232, 0.44122923917012435]]","[[0.9772357900514885, -0.1532681656156158, 0.1466313833166983, 0.2105267338435211, 0.6165334060006803, -0.7586593503015379, 0.025875180765016367, 0.7722602143669092, 0.6347642378290385], [0.8388672492262097, -0.11937824048672495, 0.793626092638652]]"
0:00:01.060097,-0.018799999999999817,-2.1063,-1.2603999999999997,3.5509,-0.6371333333333331,0.3366000000000002,0.40680000000000066,-0.4952926535897927,1.178,-0.6889073464102069,0.9622,-0.0974,"[[0.9789642351976656, 0.19891698427566834, 0.04519348446253313, -0.10398702631469312, 0.2960620605404773, 0.9494891534777596, 0.17548944287927132, -0.9342214403850942, 0.3105129729821642], [0.7050328303896437, 0.201380478484463, 0.42835959712337424]]","[[0.9738492504058056, -0.16416437489265795, 0.15700160727051007, 0.22544666837051244, 0.6139631384982288, -0.7564534980463093, 0.027789516093068078, 0.7720684766142882, 0.6349165383008849], [0.8466861942696255, -0.1136448709368699, 0.8126675066041571]]"
0:00:01.131054,-0.005199999999999816,-2.1063,-1.2345599999999999,3.5386599999999997,-0.6131066666666665,0.35428000000000015,0.4213066666666674,-0.4568926535897926,1.1472799999999999,-0.6970140130768736,0.9622,-0.0974,"[[0.9764557174078533, 0.20975943759469917, 0.05016650472388844, -0.10638006476721432, 0.266096016915892, 0.9580560436005316, 0.18761218980023112, -0.9408423343586602, 0.2821388826877366], [0.7027018143404177, 0.20276668789844082, 0.41479094090810487]]","[[0.9702311743397705, -0.17502243202833, 0.16733368055498032, 0.2403124143138675, 0.6112309975106601, -0.7540857430226119, 0.029702388218956967, 0.7718511682759908, 0.635094120207359], [0.8537964951255707, -0.10799767280445487, 0.8322493491315783]]"
0:00:01.198753,0.006800000000000167,-2.1063,-1.21176,3.5278599999999996,-0.5919066666666665,0.36988000000000015,0.43490666666666744,-0.42089265358979266,1.11848,-0.7046140130768735,0.9622,-0.0974,"[[0.9740224456606721, 0.21956884055917464, 0.05523897025746295, -0.10826643454994556, 0.23742977324524475, 0.9653497685163538, 0.1988453532246731, -0.946259497723648, 0.2550272349971999], [0.7001825006483707, 0.20419439015820823, 0.4021308224946438]]","[[0.9668471579973981, -0.18456937434787335, 0.17641652078509767, 0.2533814445385312, 0.6086863468384328, -0.7518625849992252, 0.031388479350254274, 0.7716381841415818, 0.6352718114888805], [0.8594598572854584, -0.1030871758532119, 0.8499479155353734]]"
0:00:01.271345,0.021200000000000163,-2.1063,-1.1844,3.5149,-0.5664666666666665,0.38860000000000017,0.45032000000000083,-0.3800926535897926,1.0858399999999997,-0.7132273464102069,0.9622,-0.0974,"[[0.9712115758101926, 0.23013021377207218, 0.061398654437940424, -0.10998487233963937, 0.20468379050874366, 0.9726263342447915, 0.2112633968976065, -0.9513858526445474, 0.22409513418802562], [0.6969785459378024, 0.2059449378393122, 0.3880294183974974]]","[[0.9627956194726573, -0.19534878028285646, 0.186669945932997, 0.2681356686512739, 0.6056512015119626, -0.7491917703118791, 0.0332968214878868, 0.7713727284193528, 0.6354969965171546], [0.8651630457731634, -0.09760415898397015, 0.8704494507744208]]"
0:00:01.338042,0.033200000000000174,-2.1063,-1.1616,3.5040999999999998,-0.5452666666666665,0.40420000000000017,0.4648266666666675,-0.3416926535897926,1.0551199999999998,-0.7213340130768736,0.9622,-0.0974,"[[0.9688175277306882, 0.2385354847393044, 0.06689645073021884, -0.11110703915503888, 0.17702621154199155, 0.9779113242995581, 0.2214241265354741, -0.9548575563649665, 0.19800180980582854], [0.6940156413740497, 0.2075217332731487, 0.37640258398102766]]","[[0.959030597493323, -0.2048224027452895, 0.19567946917861218, 0.28110083633857724, 0.6028402388385311, -0.7467022513542874, 0.03497789132227094, 0.7711172671978949, 0.635716684667325], [0.869545481571043, -0.09283846026804686, 0.888900841035463]]"
0:00:01.406042,0.04680000000000023,-2.1063,-1.1357599999999999,3.49186,-0.5212399999999997,0.4218800000000002,0.4793333333333343,-0.3032926535897925,1.0243999999999998,-0.7294406797435403,0.9622,-0.0974,"[[0.9660557838111219, 0.24761278097075654, 0.07352511324278108, -0.11205784476821966, 0.1453125555643985, 0.983015935726254, 0.23272318748027782, -0.9578948699597842, 0.16811941538940084], [0.6903429121436082, 0.20943965348100047, 0.3633732248427064]]","[[0.9545490017447298, -0.21551428599683975, 0.20584537509020462, 0.2957311862329076, 0.5995045218329187, -0.7437308093977539, 0.03687938119623772, 0.7708036915020298, 0.6359894454364277], [0.8737552664687152, -0.08751833642172308, 0.9101868471913148]]"
0:00:01.474588,0.060400000000000204,-2.1063,-1.1099199999999998,3.4796199999999997,-0.497213333333333,0.4395600000000002,0.49474666666666756,-0.26249265358979257,0.9917599999999998,-0.7380540130768736,0.9622,-0.0974,"[[0.9634167371797714, 0.2557081668095489, 0.0801462767918189, -0.11266010170730058, 0.11514276682458946, 0.9869358198620286, 0.24313928519509898, -0.9598676401852904, 0.13973071169100404], [0.6865876863632491, 0.21137273950563343, 0.35126374458798076]]","[[0.9498404479362459, -0.22615608936034423, 0.21596120310082018, 0.3102907396787612, 0.5960102020557169, -0.740600735029527, 0.03877628571535874, 0.770464582113117, 0.6362874507869622], [0.8771406333583427, -0.08228275124585915, 0.9318317514722424]]"
